Id	ComonpentsId	Stage	Cost	BaseAttribute	ExtraAdd
54	6003	14	6003#4|5#435	1#1134|4#308	null
55	6003	15	6003#5|5#495	1#1215|4#330	0#61#100
56	6003	16	6003#6|5#555	1#1296|4#352	null
57	6003	17	6003#8|5#620	1#1377|4#375	null
58	6003	18	6003#10|5#690	1#1458|4#397	null
59	6003	19	6003#21|5#765	1#1539|4#419	null
60	6003	20	6003#30|5#840	1#1620|4#441	0#61#100
61	6004	1	6004#1|5#0	1#81|3#22	null
62	6004	2	6004#1|5#20	1#162|3#44	0#63#100
63	6004	3	6004#1|5#35	1#243|3#66	null
64	6004	4	6004#1|5#50	1#324|3#88	null
65	6004	5	6004#2|5#75	1#405|3#110	null
66	6004	6	6004#2|5#100	1#486|3#132	null
67	6004	7	6004#2|5#130	1#567|3#154	0#63#100
68	6004	8	6004#3|5#160	1#648|3#176	null
69	6004	9	6004#3|5#195	1#729|3#198	null
70	6004	10	6004#3|5#235	1#810|3#220	null
71	6004	11	6004#3|5#280	1#891|3#242	null
72	6004	12	6004#3|5#330	1#972|3#264	null
73	6004	13	6004#3|5#380	1#1053|3#286	null
74	6004	14	6004#4|5#435	1#1134|3#308	null
75	6004	15	6004#5|5#495	1#1215|3#330	0#63#100
76	6004	16	6004#6|5#555	1#1296|3#352	null
77	6004	17	6004#8|5#620	1#1377|3#375	null
78	6004	18	6004#10|5#690	1#1458|3#397	null
79	6004	19	6004#21|5#765	1#1539|3#419	null
80	6004	20	6004#30|5#840	1#1620|3#441	0#63#100
81	6005	1	6005#1|5#0	1#81|2#22	null
82	6005	2	6005#1|5#20	1#162|2#44	0#64#100
83	6005	3	6005#1|5#35	1#243|2#66	null
84	6005	4	6005#1|5#50	1#324|2#88	null
85	6005	5	6005#2|5#75	1#405|2#110	null
86	6005	6	6005#2|5#100	1#486|2#132	null
87	6005	7	6005#2|5#130	1#567|2#154	0#64#100
88	6005	8	6005#3|5#160	1#648|2#176	null
89	6005	9	6005#3|5#195	1#729|2#198	null
90	6005	10	6005#3|5#235	1#810|2#220	null
91	6005	11	6005#3|5#280	1#891|2#242	null
92	6005	12	6005#3|5#330	1#972|2#264	null
93	6005	13	6005#3|5#380	1#1053|2#286	null
94	6005	14	6005#4|5#435	1#1134|2#308	null
95	6005	15	6005#5|5#495	1#1215|2#330	0#64#100
96	6005	16	6005#6|5#555	1#1296|2#352	null
97	6005	17	6005#8|5#620	1#1377|2#375	null
98	6005	18	6005#10|5#690	1#1458|2#397	null
99	6005	19	6005#21|5#765	1#1539|2#419	null
100	6005	20	6005#30|5#840	1#1620|2#441	0#64#100
101	6006	1	6006#1|5#0	1#81|4#22	null
102	6006	2	6006#1|5#20	1#162|4#44	0#61#100
103	6006	3	6006#1|5#35	1#243|4#66	null
104	6006	4	6006#1|5#50	1#324|4#88	null
105	6006	5	6006#2|5#75	1#405|4#110	null
106	6006	6	6006#2|5#100	1#486|4#132	null
107	6006	7	6006#2|5#130	1#567|4#154	0#61#100
108	6006	8	6006#3|5#160	1#648|4#176	null
109	6006	9	6006#3|5#195	1#729|4#198	null
110	6006	10	6006#3|5#235	1#810|4#220	null
111	6006	11	6006#3|5#280	1#891|4#242	null
112	6006	12	6006#3|5#330	1#972|4#264	null
113	6006	13	6006#3|5#380	1#1053|4#286	null
114	6006	14	6006#4|5#435	1#1134|4#308	null
115	6006	15	6006#5|5#495	1#1215|4#330	0#61#100
116	6006	16	6006#6|5#555	1#1296|4#352	null
117	6006	17	6006#8|5#620	1#1377|4#375	null
118	6006	18	6006#10|5#690	1#1458|4#397	null
119	6006	19	6006#21|5#765	1#1539|4#419	null
120	6006	20	6006#30|5#840	1#1620|4#441	0#61#100
121	6007	1	6007#1|5#0	1#81|3#22	null
122	6007	2	6007#1|5#20	1#162|3#44	0#63#100
123	6007	3	6007#1|5#35	1#243|3#66	null
124	6007	4	6007#1|5#50	1#324|3#88	null
125	6007	5	6007#2|5#75	1#405|3#110	null
126	6007	6	6007#2|5#100	1#486|3#132	null
127	6007	7	6007#2|5#130	1#567|3#154	0#63#100
128	6007	8	6007#3|5#160	1#648|3#176	null
129	6007	9	6007#3|5#195	1#729|3#198	null
130	6007	10	6007#3|5#235	1#810|3#220	null
131	6007	11	6007#3|5#280	1#891|3#242	null
132	6007	12	6007#3|5#330	1#972|3#264	null
133	6007	13	6007#3|5#380	1#1053|3#286	null
134	6007	14	6007#4|5#435	1#1134|3#308	null
135	6007	15	6007#5|5#495	1#1215|3#330	0#63#100
136	6007	16	6007#6|5#555	1#1296|3#352	null
137	6007	17	6007#8|5#620	1#1377|3#375	null
138	6007	18	6007#10|5#690	1#1458|3#397	null
139	6007	19	6007#21|5#765	1#1539|3#419	null
140	6007	20	6007#30|5#840	1#1620|3#441	0#63#100
141	6008	1	6008#1|5#0	1#81|2#22	null
142	6008	2	6008#1|5#20	1#162|2#44	0#64#100
143	6008	3	6008#1|5#35	1#243|2#66	null
144	6008	4	6008#1|5#50	1#324|2#88	null
145	6008	5	6008#2|5#75	1#405|2#110	null
146	6008	6	6008#2|5#100	1#486|2#132	null
147	6008	7	6008#2|5#130	1#567|2#154	0#64#100
148	6008	8	6008#3|5#160	1#648|2#176	null
149	6008	9	6008#3|5#195	1#729|2#198	null
150	6008	10	6008#3|5#235	1#810|2#220	null
151	6008	11	6008#3|5#280	1#891|2#242	null
152	6008	12	6008#3|5#330	1#972|2#264	null
153	6008	13	6008#3|5#380	1#1053|2#286	null
154	6008	14	6008#4|5#435	1#1134|2#308	null
155	6008	15	6008#5|5#495	1#1215|2#330	0#64#100
156	6008	16	6008#6|5#555	1#1296|2#352	null
157	6008	17	6008#8|5#620	1#1377|2#375	null
158	6008	18	6008#10|5#690	1#1458|2#397	null
159	6008	19	6008#21|5#765	1#1539|2#419	null
160	6008	20	6008#30|5#840	1#1620|2#441	0#64#100
161	6009	1	6009#1|5#0	1#81|4#22	null
162	6009	2	6009#1|5#20	1#162|4#44	0#61#100
163	6009	3	6009#1|5#35	1#243|4#66	null
164	6009	4	6009#1|5#50	1#324|4#88	null
165	6009	5	6009#2|5#75	1#405|4#110	null
166	6009	6	6009#2|5#100	1#486|4#132	null
167	6009	7	6009#2|5#130	1#567|4#154	0#61#100
168	6009	8	6009#3|5#160	1#648|4#176	null
169	6009	9	6009#3|5#195	1#729|4#198	null
170	6009	10	6009#3|5#235	1#810|4#220	null
171	6009	11	6009#3|5#280	1#891|4#242	null
172	6009	12	6009#3|5#330	1#972|4#264	null
173	6009	13	6009#3|5#380	1#1053|4#286	null
174	6009	14	6009#4|5#435	1#1134|4#308	null
175	6009	15	6009#5|5#495	1#1215|4#330	0#61#100
176	6009	16	6009#6|5#555	1#1296|4#352	null
177	6009	17	6009#8|5#620	1#1377|4#375	null
178	6009	18	6009#10|5#690	1#1458|4#397	null
179	6009	19	6009#21|5#765	1#1539|4#419	null
180	6009	20	6009#30|5#840	1#1620|4#441	0#61#100
181	6010	1	6010#1|5#0	1#81|3#22	null
182	6010	2	6010#1|5#20	1#162|3#44	0#63#100
183	6010	3	6010#1|5#35	1#243|3#66	null
184	6010	4	6010#1|5#50	1#324|3#88	null
185	6010	5	6010#2|5#75	1#405|3#110	null
186	6010	6	6010#2|5#100	1#486|3#132	null
187	6010	7	6010#2|5#130	1#567|3#154	0#63#100
188	6010	8	6010#3|5#160	1#648|3#176	null
189	6010	9	6010#3|5#195	1#729|3#198	null
190	6010	10	6010#3|5#235	1#810|3#220	null
191	6010	11	6010#3|5#280	1#891|3#242	null
192	6010	12	6010#3|5#330	1#972|3#264	null
193	6010	13	6010#3|5#380	1#1053|3#286	null
194	6010	14	6010#4|5#435	1#1134|3#308	null
195	6010	15	6010#5|5#495	1#1215|3#330	0#63#100
196	6010	16	6010#6|5#555	1#1296|3#352	null
197	6010	17	6010#8|5#620	1#1377|3#375	null
198	6010	18	6010#10|5#690	1#1458|3#397	null
199	6010	19	6010#21|5#765	1#1539|3#419	null
200	6010	20	6010#30|5#840	1#1620|3#441	0#63#100
201	6011	1	6011#1|5#0	1#81|2#22	null
202	6011	2	6011#1|5#20	1#162|2#44	0#64#100
203	6011	3	6011#1|5#35	1#243|2#66	null
204	6011	4	6011#1|5#50	1#324|2#88	null
205	6011	5	6011#2|5#75	1#405|2#110	null
206	6011	6	6011#2|5#100	1#486|2#132	null
207	6011	7	6011#2|5#130	1#567|2#154	0#64#100
208	6011	8	6011#3|5#160	1#648|2#176	null
209	6011	9	6011#3|5#195	1#729|2#198	null
210	6011	10	6011#3|5#235	1#810|2#220	null
211	6011	11	6011#3|5#280	1#891|2#242	null
212	6011	12	6011#3|5#330	1#972|2#264	null
213	6011	13	6011#3|5#380	1#1053|2#286	null
214	6011	14	6011#4|5#435	1#1134|2#308	null
215	6011	15	6011#5|5#495	1#1215|2#330	0#64#100
216	6011	16	6011#6|5#555	1#1296|2#352	null
217	6011	17	6011#8|5#620	1#1377|2#375	null
218	6011	18	6011#10|5#690	1#1458|2#397	null
219	6011	19	6011#21|5#765	1#1539|2#419	null
220	6011	20	6011#30|5#840	1#1620|2#441	0#64#100
221	6012	1	6012#1|5#0	1#81|4#22	null
222	6012	2	6012#1|5#20	1#162|4#44	0#61#100
223	6012	3	6012#1|5#35	1#243|4#66	null
224	6012	4	6012#1|5#50	1#324|4#88	null
225	6012	5	6012#2|5#75	1#405|4#110	null
226	6012	6	6012#2|5#100	1#486|4#132	null
227	6012	7	6012#2|5#130	1#567|4#154	0#61#100
228	6012	8	6012#3|5#160	1#648|4#176	null
229	6012	9	6012#3|5#195	1#729|4#198	null
230	6012	10	6012#3|5#235	1#810|4#220	null
231	6012	11	6012#3|5#280	1#891|4#242	null
232	6012	12	6012#3|5#330	1#972|4#264	null
233	6012	13	6012#3|5#380	1#1053|4#286	null
234	6012	14	6012#4|5#435	1#1134|4#308	null
235	6012	15	6012#5|5#495	1#1215|4#330	0#61#100
236	6012	16	6012#6|5#555	1#1296|4#352	null
237	6012	17	6012#8|5#620	1#1377|4#375	null
238	6012	18	6012#10|5#690	1#1458|4#397	null
239	6012	19	6012#21|5#765	1#1539|4#419	null
240	6012	20	6012#30|5#840	1#1620|4#441	0#61#100
241	6013	1	6013#1|5#0	1#26|2#20|66#10	null
242	6013	2	6013#1|5#40	1#65|2#41|66#20	0#107#100
243	6013	3	6013#1|5#65	1#118|2#61|66#30	null
244	6013	4	6013#1|5#100	1#184|2#82|66#40	null
245	6013	5	6013#2|5#135	1#262|2#102|66#50	null
246	6013	6	6013#2|5#180	1#354|2#123|66#60	null
247	6013	7	6013#2|5#235	1#459|2#144|66#70	0#107#100
248	6013	8	6013#3|5#290	1#578|2#164|66#80	null
249	6013	9	6013#3|5#355	1#709|2#185|66#90	null
250	6013	10	6013#3|5#420	1#853|2#205|66#100	null
251	6013	11	6013#3|5#495	1#1011|2#226|66#110	null
252	6013	12	6013#3|5#580	1#1181|2#247|66#120	null
253	6013	13	6013#3|5#665	1#1365|2#267|66#130	null
254	6013	14	6013#4|5#760	1#1562|2#288|66#140	null
255	6013	15	6013#5|5#855	1#1772|2#308|66#150	0#107#200
256	6013	16	6013#6|5#960	1#1995|2#329|66#160	null
257	6013	17	6013#8|5#1075	1#2231|2#350|66#170	null
258	6013	18	6013#10|5#1190	1#2481|2#370|66#180	null
259	6013	19	6013#21|5#1315	1#2743|2#391|66#190	null
260	6013	20	6013#30|5#1440	1#3020|2#411|66#200	0#107#200
261	6014	1	6014#1|5#0	1#26|3#40|59#10	null
262	6014	2	6014#1|5#40	1#65|3#82|59#20	0#53#100
263	6014	3	6014#1|5#65	1#118|3#122|59#30	null
264	6014	4	6014#1|5#100	1#184|3#164|59#40	null
265	6014	5	6014#2|5#135	1#262|3#204|59#50	null
266	6014	6	6014#2|5#180	1#354|3#246|59#60	null
267	6014	7	6014#2|5#235	1#459|3#288|59#70	0#53#200
268	6014	8	6014#3|5#290	1#578|3#328|59#80	null
269	6014	9	6014#3|5#355	1#709|3#370|59#90	null
270	6014	10	6014#3|5#420	1#853|3#410|59#100	null
271	6014	11	6014#3|5#495	1#1011|3#452|59#110	null
272	6014	12	6014#3|5#580	1#1181|3#494|59#120	null
273	6014	13	6014#3|5#665	1#1365|3#534|59#130	null
274	6014	14	6014#4|5#760	1#1562|3#576|59#140	null
275	6014	15	6014#5|5#855	1#1772|3#616|59#150	0#53#300
276	6014	16	6014#6|5#960	1#1995|3#658|59#160	null
277	6014	17	6014#8|5#1075	1#2231|3#700|59#170	null
278	6014	18	6014#10|5#1190	1#2481|3#740|59#180	null
279	6014	19	6014#21|5#1315	1#2743|3#782|59#190	null
280	6014	20	6014#30|5#1440	1#3020|3#822|59#200	0#53#400
281	6015	1	6015#1|5#0	1#26|4#40|59#10	null
282	6015	2	6015#1|5#40	1#65|4#82|59#20	0#56#200
283	6015	3	6015#1|5#65	1#118|4#122|59#30	null
284	6015	4	6015#1|5#100	1#184|4#164|59#40	null
285	6015	5	6015#2|5#135	1#262|4#204|59#50	null
286	6015	6	6015#2|5#180	1#354|4#246|59#60	null
287	6015	7	6015#2|5#235	1#459|4#288|59#70	0#56#300
288	6015	8	6015#3|5#290	1#578|4#328|59#80	null
289	6015	9	6015#3|5#355	1#709|4#370|59#90	null
290	6015	10	6015#3|5#420	1#853|4#410|59#100	null
291	6015	11	6015#3|5#495	1#1011|4#452|59#110	null
292	6015	12	6015#3|5#580	1#1181|4#494|59#120	null
293	6015	13	6015#3|5#665	1#1365|4#534|59#130	null
294	6015	14	6015#4|5#760	1#1562|4#576|59#140	null
295	6015	15	6015#5|5#855	1#1772|4#616|59#150	0#56#400
296	6015	16	6015#6|5#960	1#1995|4#658|59#160	null
297	6015	17	6015#8|5#1075	1#2231|4#700|59#170	null
298	6015	18	6015#10|5#1190	1#2481|4#740|59#180	null
299	6015	19	6015#21|5#1315	1#2743|4#782|59#190	null
300	6015	20	6015#30|5#1440	1#3020|4#822|59#200	0#56#500
301	6016	1	6016#1|5#0	2#20|59#10|66#10	null
302	6016	2	6016#1|5#40	2#41|59#20|66#20	0#101#100
303	6016	3	6016#1|5#65	2#61|59#30|66#30	null
304	6016	4	6016#1|5#100	2#82|59#40|66#40	null
305	6016	5	6016#2|5#135	2#102|59#50|66#50	null
306	6016	6	6016#2|5#180	2#123|59#60|66#60	null
307	6016	7	6016#2|5#235	2#144|59#70|66#70	0#101#200
308	6016	8	6016#3|5#290	2#164|59#80|66#80	null
309	6016	9	6016#3|5#355	2#185|59#90|66#90	null
310	6016	10	6016#3|5#420	2#205|59#100|66#100	null
311	6016	11	6016#3|5#495	2#226|59#110|66#110	null
312	6016	12	6016#3|5#580	2#247|59#120|66#120	null
313	6016	13	6016#3|5#665	2#267|59#130|66#130	null
314	6016	14	6016#4|5#760	2#288|59#140|66#140	null
315	6016	15	6016#5|5#855	2#308|59#150|66#150	0#101#300
316	6016	16	6016#6|5#960	2#329|59#160|66#160	null
317	6016	17	6016#8|5#1075	2#350|59#170|66#170	null
318	6016	18	6016#10|5#1190	2#370|59#180|66#180	null
319	6016	19	6016#21|5#1315	2#391|59#190|66#190	null
320	6016	20	6016#30|5#1440	2#411|59#200|66#200	0#101#600
321	6017	1	6017#1|5#0	1#26|2#20|66#10	null
322	6017	2	6017#1|5#40	1#65|2#41|66#20	0#107#100
323	6017	3	6017#1|5#65	1#118|2#61|66#30	null
324	6017	4	6017#1|5#100	1#184|2#82|66#40	null
325	6017	5	6017#2|5#135	1#262|2#102|66#50	null
326	6017	6	6017#2|5#180	1#354|2#123|66#60	null
327	6017	7	6017#2|5#235	1#459|2#144|66#70	0#107#100
328	6017	8	6017#3|5#290	1#578|2#164|66#80	null
329	6017	9	6017#3|5#355	1#709|2#185|66#90	null
330	6017	10	6017#3|5#420	1#853|2#205|66#100	null
331	6017	11	6017#3|5#495	1#1011|2#226|66#110	null
332	6017	12	6017#3|5#580	1#1181|2#247|66#120	null
333	6017	13	6017#3|5#665	1#1365|2#267|66#130	null
334	6017	14	6017#4|5#760	1#1562|2#288|66#140	null
335	6017	15	6017#5|5#855	1#1772|2#308|66#150	0#107#200
336	6017	16	6017#6|5#960	1#1995|2#329|66#160	null
337	6017	17	6017#8|5#1075	1#2231|2#350|66#170	null
338	6017	18	6017#10|5#1190	1#2481|2#370|66#180	null
339	6017	19	6017#21|5#1315	1#2743|2#391|66#190	null
340	6017	20	6017#30|5#1440	1#3020|2#411|66#200	0#107#200
341	6018	1	6018#1|5#0	1#26|3#40|59#10	null
342	6018	2	6018#1|5#40	1#65|3#82|59#20	0#108#100
343	6018	3	6018#1|5#65	1#118|3#122|59#30	null
344	6018	4	6018#1|5#100	1#184|3#164|59#40	null
345	6018	5	6018#2|5#135	1#262|3#204|59#50	null
346	6018	6	6018#2|5#180	1#354|3#246|59#60	null
347	6018	7	6018#2|5#235	1#459|3#288|59#70	0#108#100
348	6018	8	6018#3|5#290	1#578|3#328|59#80	null
349	6018	9	6018#3|5#355	1#709|3#370|59#90	null
350	6018	10	6018#3|5#420	1#853|3#410|59#100	null
351	6018	11	6018#3|5#495	1#1011|3#452|59#110	null
352	6018	12	6018#3|5#580	1#1181|3#494|59#120	null
353	6018	13	6018#3|5#665	1#1365|3#534|59#130	null
354	6018	14	6018#4|5#760	1#1562|3#576|59#140	null
355	6018	15	6018#5|5#855	1#1772|3#616|59#150	0#108#200
356	6018	16	6018#6|5#960	1#1995|3#658|59#160	null
357	6018	17	6018#8|5#1075	1#2231|3#700|59#170	null
358	6018	18	6018#10|5#1190	1#2481|3#740|59#180	null
359	6018	19	6018#21|5#1315	1#2743|3#782|59#190	null
360	6018	20	6018#30|5#1440	1#3020|3#822|59#200	0#108#200
361	6019	1	6019#1|5#0	1#26|4#40|59#10	null
362	6019	2	6019#1|5#40	1#65|4#82|59#20	0#109#100
363	6019	3	6019#1|5#65	1#118|4#122|59#30	null
364	6019	4	6019#1|5#100	1#184|4#164|59#40	null
365	6019	5	6019#2|5#135	1#262|4#204|59#50	null
366	6019	6	6019#2|5#180	1#354|4#246|59#60	null
367	6019	7	6019#2|5#235	1#459|4#288|59#70	0#109#100
368	6019	8	6019#3|5#290	1#578|4#328|59#80	null
369	6019	9	6019#3|5#355	1#709|4#370|59#90	null
370	6019	10	6019#3|5#420	1#853|4#410|59#100	null
371	6019	11	6019#3|5#495	1#1011|4#452|59#110	null
372	6019	12	6019#3|5#580	1#1181|4#494|59#120	null
373	6019	13	6019#3|5#665	1#1365|4#534|59#130	null
374	6019	14	6019#4|5#760	1#1562|4#576|59#140	null
375	6019	15	6019#5|5#855	1#1772|4#616|59#150	0#109#200
376	6019	16	6019#6|5#960	1#1995|4#658|59#160	null
377	6019	17	6019#8|5#1075	1#2231|4#700|59#170	null
378	6019	18	6019#10|5#1190	1#2481|4#740|59#180	null
379	6019	19	6019#21|5#1315	1#2743|4#782|59#190	null
380	6019	20	6019#30|5#1440	1#3020|4#822|59#200	0#109#200
381	6020	1	6020#1|5#0	2#20|59#10|66#10	null
382	6020	2	6020#1|5#40	2#41|59#20|66#20	0#110#100
383	6020	3	6020#1|5#65	2#61|59#30|66#30	null
384	6020	4	6020#1|5#100	2#82|59#40|66#40	null
385	6020	5	6020#2|5#135	2#102|59#50|66#50	null
386	6020	6	6020#2|5#180	2#123|59#60|66#60	null
387	6020	7	6020#2|5#235	2#144|59#70|66#70	0#110#100
388	6020	8	6020#3|5#290	2#164|59#80|66#80	null
389	6020	9	6020#3|5#355	2#185|59#90|66#90	null
390	6020	10	6020#3|5#420	2#205|59#100|66#100	null
391	6020	11	6020#3|5#495	2#226|59#110|66#110	null
392	6020	12	6020#3|5#580	2#247|59#120|66#120	null
393	6020	13	6020#3|5#665	2#267|59#130|66#130	null
394	6020	14	6020#4|5#760	2#288|59#140|66#140	null
395	6020	15	6020#5|5#855	2#308|59#150|66#150	0#110#200
396	6020	16	6020#6|5#960	2#329|59#160|66#160	null
397	6020	17	6020#8|5#1075	2#350|59#170|66#170	null
398	6020	18	6020#10|5#1190	2#370|59#180|66#180	null
399	6020	19	6020#21|5#1315	2#391|59#190|66#190	null
400	6020	20	6020#30|5#1440	2#411|59#200|66#200	0#110#200
401	6021	1	6021#1|5#0	1#26|2#20|66#10	null
402	6021	2	6021#1|5#40	1#65|2#41|66#20	0#60#200
403	6021	3	6021#1|5#65	1#118|2#61|66#30	null
404	6021	4	6021#1|5#100	1#184|2#82|66#40	null
405	6021	5	6021#2|5#135	1#262|2#102|66#50	null
406	6021	6	6021#2|5#180	1#354|2#123|66#60	null
407	6021	7	6021#2|5#235	1#459|2#144|66#70	0#60#300
408	6021	8	6021#3|5#290	1#578|2#164|66#80	null
409	6021	9	6021#3|5#355	1#709|2#185|66#90	null
410	6021	10	6021#3|5#420	1#853|2#205|66#100	null
411	6021	11	6021#3|5#495	1#1011|2#226|66#110	null
412	6021	12	6021#3|5#580	1#1181|2#247|66#120	null
413	6021	13	6021#3|5#665	1#1365|2#267|66#130	null
414	6021	14	6021#4|5#760	1#1562|2#288|66#140	null
415	6021	15	6021#5|5#855	1#1772|2#308|66#150	0#60#400
416	6021	16	6021#6|5#960	1#1995|2#329|66#160	null
417	6021	17	6021#8|5#1075	1#2231|2#350|66#170	null
418	6021	18	6021#10|5#1190	1#2481|2#370|66#180	null
419	6021	19	6021#21|5#1315	1#2743|2#391|66#190	null
420	6021	20	6021#30|5#1440	1#3020|2#411|66#200	0#60#500
421	6022	1	6022#1|5#0	1#26|3#40|59#10	null
422	6022	2	6022#1|5#40	1#65|3#82|59#20	0#109#100
423	6022	3	6022#1|5#65	1#118|3#122|59#30	null
424	6022	4	6022#1|5#100	1#184|3#164|59#40	null
425	6022	5	6022#2|5#135	1#262|3#204|59#50	null
426	6022	6	6022#2|5#180	1#354|3#246|59#60	null
427	6022	7	6022#2|5#235	1#459|3#288|59#70	0#109#100
428	6022	8	6022#3|5#290	1#578|3#328|59#80	null
429	6022	9	6022#3|5#355	1#709|3#370|59#90	null
430	6022	10	6022#3|5#420	1#853|3#410|59#100	null
431	6022	11	6022#3|5#495	1#1011|3#452|59#110	null
432	6022	12	6022#3|5#580	1#1181|3#494|59#120	null
433	6022	13	6022#3|5#665	1#1365|3#534|59#130	null
434	6022	14	6022#4|5#760	1#1562|3#576|59#140	null
435	6022	15	6022#5|5#855	1#1772|3#616|59#150	0#109#200
436	6022	16	6022#6|5#960	1#1995|3#658|59#160	null
437	6022	17	6022#8|5#1075	1#2231|3#700|59#170	null
438	6022	18	6022#10|5#1190	1#2481|3#740|59#180	null
439	6022	19	6022#21|5#1315	1#2743|3#782|59#190	null
440	6022	20	6022#30|5#1440	1#3020|3#822|59#200	0#109#200
441	6023	1	6023#1|5#0	1#26|4#40|59#10	null
442	6023	2	6023#1|5#40	1#65|4#82|59#20	0#55#200
443	6023	3	6023#1|5#65	1#118|4#122|59#30	null
444	6023	4	6023#1|5#100	1#184|4#164|59#40	null
445	6023	5	6023#2|5#135	1#262|4#204|59#50	null
446	6023	6	6023#2|5#180	1#354|4#246|59#60	null
447	6023	7	6023#2|5#235	1#459|4#288|59#70	0#55#300
448	6023	8	6023#3|5#290	1#578|4#328|59#80	null
449	6023	9	6023#3|5#355	1#709|4#370|59#90	null
450	6023	10	6023#3|5#420	1#853|4#410|59#100	null
451	6023	11	6023#3|5#495	1#1011|4#452|59#110	null
452	6023	12	6023#3|5#580	1#1181|4#494|59#120	null
453	6023	13	6023#3|5#665	1#1365|4#534|59#130	null
454	6023	14	6023#4|5#760	1#1562|4#576|59#140	null
455	6023	15	6023#5|5#855	1#1772|4#616|59#150	0#55#400
456	6023	16	6023#6|5#960	1#1995|4#658|59#160	null
457	6023	17	6023#8|5#1075	1#2231|4#700|59#170	null
458	6023	18	6023#10|5#1190	1#2481|4#740|59#180	null
459	6023	19	6023#21|5#1315	1#2743|4#782|59#190	null
460	6023	20	6023#30|5#1440	1#3020|4#822|59#200	0#55#500
461	6024	1	6024#1|5#0	2#20|59#10|66#10	null
462	6024	2	6024#1|5#40	2#41|59#20|66#20	0#103#100
463	6024	3	6024#1|5#65	2#61|59#30|66#30	null
464	6024	4	6024#1|5#100	2#82|59#40|66#40	null
465	6024	5	6024#2|5#135	2#102|59#50|66#50	null
466	6024	6	6024#2|5#180	2#123|59#60|66#60	null
467	6024	7	6024#2|5#235	2#144|59#70|66#70	0#103#200
468	6024	8	6024#3|5#290	2#164|59#80|66#80	null
469	6024	9	6024#3|5#355	2#185|59#90|66#90	null
470	6024	10	6024#3|5#420	2#205|59#100|66#100	null
471	6024	11	6024#3|5#495	2#226|59#110|66#110	null
472	6024	12	6024#3|5#580	2#247|59#120|66#120	null
473	6024	13	6024#3|5#665	2#267|59#130|66#130	null
474	6024	14	6024#4|5#760	2#288|59#140|66#140	null
