Level	Cost	Pool
10	19001#1890	102#300|103#600|104#500|105#300|106#200|107#100|202#200|203#400|204#300|205#300|206#200|207#100|302#200|303#400|304#300|305#300|306#200|307#100|405#300|406#200|505#300|506#200|601#100|602#100|603#100|604#100|704#200|705#200|706#100|804#200|805#200|806#100|901#50|902#100|903#100|904#50|905#100|906#100|907#100|908#50|910#50|911#100|912#50|1001#50|1002#50|1003#100|1004#100|1005#50|1006#50|1007#50|1008#100|1009#100|1010#50|1011#100|1012#50|1013#50|1101#25|1102#50|1103#25|1104#50|1106#50|1107#50|1109#25|1110#25|1111#50|1112#50|1114#50|1116#100|1119#50|1201#150|1202#50|1203#50
11	19001#2340	102#200|103#600|104#500|105#400|106#200|107#100|202#100|203#400|204#300|205#300|206#200|207#200|302#100|303#400|304#300|305#300|306#200|307#200|406#300|407#200|506#300|507#200|601#100|602#100|603#100|604#100|704#100|705#200|706#200|804#100|805#200|806#200|902#100|903#100|904#50|905#100|906#100|907#100|908#50|910#50|911#100|912#100|914#50|1002#50|1003#100|1004#100|1005#50|1006#50|1007#50|1008#100|1009#100|1010#50|1011#100|1012#50|1013#50|1101#25|1102#50|1103#25|1104#50|1106#50|1107#50|1109#25|1110#25|1111#50|1112#50|1114#50|1116#50|1117#50|1119#50|1201#150|1202#50|1203#50
12	19001#2790	102#200|103#500|104#500|105#400|106#300|107#100|203#400|204#300|205#300|206#200|207#200|208#100|303#400|304#300|305#300|306#200|307#200|308#100|406#300|407#200|506#300|507#200|601#50|602#100|603#100|604#100|605#50|705#200|706#200|805#300|806#300|902#100|903#100|904#50|905#100|906#100|907#100|908#50|910#50|911#100|912#100|914#50|1002#50|1003#100|1004#100|1005#50|1007#50|1008#100|1009#100|1010#50|1011#100|1012#100|1013#50|1101#25|1102#50|1103#25|1104#25|1105#25|1106#25|1107#50|1108#25|1109#25|1110#25|1111#50|1112#50|1114#25|1115#25|1116#50|1117#50|1119#50|1201#150|1202#50|1203#50
13	19001#3330	102#100|103#500|104#500|105#400|106#300|107#200|203#300|204#300|205#300|206#200|207#200|208#200|303#300|304#300|305#300|306#200|307#200|308#200|407#300|408#200|507#300|508#200|601#50|602#100|603#100|604#100|605#50|705#100|706#200|707#100|805#300|806#200|807#100|902#100|903#100|904#50|905#100|906#100|907#100|908#50|910#50|911#100|912#100|914#50|1003#100|1004#100|1005#50|1007#50|1008#100|1009#100|1010#50|1011#100|1012#100|1013#50|1014#50|1101#25|1102#50|1103#25|1104#25|1105#25|1106#25|1107#50|1108#25|1109#25|1110#25|1111#50|1112#50|1114#25|1115#25|1116#50|1117#50|1119#50|1201#150|1202#50|1203#50
14	19001#3870	103#500|104#500|105#400|106#300|107#200|108#100|203#200|204#300|205#300|206#200|207#200|208#200|209#100|303#200|304#300|305#300|306#200|307#200|308#200|309#100|407#300|408#200|507#300|508#200|602#100|603#100|604#100|605#100|705#100|706#100|707#200|805#200|806#200|807#200|902#100|903#100|904#50|905#100|906#100|907#100|908#50|910#50|911#100|912#100|914#50|1003#50|1004#100|1005#50|1007#50|1008#100|1009#100|1010#50|1011#150|1012#100|1013#50|1014#50|1101#25|1102#50|1103#25|1104#25|1105#25|1106#25|1107#50|1108#25|1109#25|1110#25|1111#25|1112#50|1113#25|1114#25|1115#25|1116#50|1117#50|1119#25|1120#25|1201#150|1202#50|1203#50
15	19001#4500	103#400|104#500|105#400|106#300|107#200|108#200|203#100|204#300|205#300|206#200|207#200|208#200|209#200|303#100|304#300|305#300|306#200|307#200|308#200|309#200|408#300|409#200|508#300|509#200|602#100|603#100|604#100|605#100|706#200|707#200|806#300|807#300|902#100|903#100|904#50|905#100|906#100|907#100|908#50|910#50|911#100|912#100|914#50|1004#100|1005#50|1007#50|1008#100|1009#100|1010#50|1011#150|1012#100|1013#100|1014#50|1101#25|1102#50|1103#25|1104#25|1105#25|1106#25|1107#50|1108#25|1109#25|1110#25|1111#25|1112#50|1113#25|1114#25|1115#25|1116#50|1117#50|1119#25|1120#25|1201#150|1202#50|1203#50
16	19001#5130	103#300|104#400|105#400|106#300|107#300|108#200|109#100|204#300|205#300|206#200|207#200|208#200|209#200|210#100|304#300|305#300|306#200|307#200|308#200|309#200|310#100|408#300|409#200|508#300|509#200|602#100|603#100|604#100|605#100|706#100|707#200|708#100|806#300|807#200|808#100|902#100|903#100|904#50|905#100|906#100|907#100|908#50|910#50|911#100|912#100|913#50|914#50|1004#50|1005#50|1008#50|1009#100|1010#100|1011#150|1012#100|1013#100|1014#50|1015#50|1101#25|1102#50|1103#25|1104#25|1105#25|1106#25|1107#50|1108#25|1109#25|1110#25|1111#25|1112#50|1113#25|1114#25|1115#25|1116#25|1117#50|1118#25|1119#25|1120#25|1201#150|1202#50|1203#50
17	19001#5850	103#200|104#400|105#400|106#400|107#300|108#200|109#100|204#200|205#300|206#300|207#200|208#200|209#200|210#100|304#200|305#300|306#300|307#200|308#200|309#200|310#100|409#300|410#200|509#300|510#200|602#100|603#100|604#100|605#100|706#100|707#100|708#200|806#200|807#200|808#200|902#100|903#100|904#50|905#100|906#100|907#100|908#50|909#50|910#50|911#100|912#100|913#50|914#50|1005#50|1008#50|1009#100|1010#100|1011#150|1012#100|1013#100|1014#50|1015#50|1101#25|1102#50|1103#25|1104#25|1105#25|1106#25|1107#50|1108#25|1109#25|1110#25|1111#25|1112#50|1113#25|1114#25|1115#25|1116#25|1117#50|1118#25|1119#25|1120#25|1201#150|1202#50|1203#50
18	19001#6570	103#100|104#400|105#400|106#400|107#300|108#200|109#100|110#100|204#100|205#300|206#300|207#300|208#200|209#200|210#100|304#100|305#300|306#300|307#300|308#200|309#200|310#100|409#300|410#200|509#300|510#200|602#100|603#100|604#100|605#100|707#200|708#200|807#300|808#300|902#100|903#100|904#50|905#50|906#100|907#100|908#50|909#50|910#50|911#100|912#100|913#50|914#50|1008#50|1009#100|1010#100|1011#200|1012#150|1013#100|1014#50|1015#50|1101#25|1102#50|1103#25|1104#25|1105#25|1106#25|1107#50|1108#25|1109#25|1110#25|1111#25|1112#50|1113#25|1114#25|1115#25|1116#25|1117#50|1118#25|1119#25|1120#25|1201#150|1202#50|1203#50
19	19001#7380	104#400|105#400|106#400|107#300|108#200|109#200|110#100|205#300|206#300|207#300|208#200|209#200|210#200|305#300|306#300|307#300|308#200|309#200|310#200|410#500|510#500|602#100|603#100|604#100|605#100|707#100|708#200|709#100|807#300|808#200|809#100|902#100|903#100|904#50|905#50|906#100|907#100|908#50|909#50|910#50|911#100|912#100|913#50|914#50|1009#100|1010#100|1011#200|1012#150|1013#100|1014#100|1015#50|1101#25|1102#50|1103#25|1104#25|1105#25|1106#25|1107#50|1108#25|1109#25|1110#25|1111#25|1112#50|1113#25|1114#25|1115#25|1116#25|1117#50|1118#25|1119#25|1120#25|1201#150|1202#50|1203#50
20	null	205#300|206#400|207#400|208#400|209#300|210#300|305#300|306#400|307#400|308#400|309#300|310#300|410#500|510#500|603#200|604#200|605#100|707#100|708#100|709#100|710#100|807#200|808#200|809#100|810#100|902#100|903#100|904#50|905#50|906#100|907#100|908#50|909#50|910#50|911#100|912#100|913#50|914#50|1009#100|1010#100|1011#200|1012#150|1013#100|1014#100|1015#50|1101#50|1102#100|1103#50|1104#50|1105#50|1106#50|1107#100|1108#50|1109#50|1110#50|1111#50|1112#100|1113#50|1114#50|1115#50|1116#50|1117#100|1118#50|1119#50|1120#50|1201#150|1202#100|1203#100
